                                                        Base Names                                                        
+------------------------------------------------------------------------------------------------------------------------+
| dec  | sex   | doz  | hex | nif | occ | name                              | base                                | abbv |
| 1778 | 12122 | 1042 | 6F2 | 1DE | Ro  | biheptunennabisept                | biheptunennabiseptimal              | BIPN |
| 1779 | 12123 | 1043 | 6F3 | 1DF | Rp  | trintesserunnift                  | trintesserunniftimal                | TRNS |
| 1780 | 12124 | 1044 | 6F4 | 1DG | Rq  | icosinocteleven                   | icosinoctelevenary                  | INC  |
| 1781 | 12125 | 1045 | 6F5 | 1DH | Rr  | bakerunoctosubopt                 | bakerunoctosuboptimal               | BARC |
| 1782 | 12130 | 1046 | 6F6 | 1DI | Rs  | trilevahexanon                    | trilevahexanonary                   | TVX  |
| 1783 | 12131 | 1047 | 6F7 | 1DJ | Rt  | untrilevahexanon                  | untrilevahexanonary                 | UVR  |
| 1784 | 12132 | 1048 | 6F8 | 1DK | Ru  | octunhexunnift                    | octunhexunniftimal                  | OHN  |
| 1785 | 12133 | 1049 | 6F9 | 1DL | Rv  | pentaheptatrisubopt               | pentaheptatrisuboptimal             | PRP  |
| 1786 | 12134 | 104E | 6FA | 1DM | Rw  | bihentrihexasnunbinbieleven       | bihentrihexasnunbinbielevenary      | BIHR |
| 1787 | 12135 | 104X | 6FB | 1DN | Rx  | unbihentrihexasnunbinbieleven     | unbihentrihexasnunbinbielevenary    | USV  |
| 1788 | 12140 | 1050 | 6FC | 1DO | Ry  | dozuntetrunnift                   | dozuntetrunniftimal                 | DRN  |
| 1789 | 12141 | 1051 | 6FD | 1DP | Rz  | undozuntetrunnift                 | undozuntetrunniftimal               | UZR  |
| 1790 | 12142 | 1052 | 6FE | 1DQ | R-  | decunbinocteleven                 | decunbinoctelevenary                | DBC  |
| 1791 | 12143 | 1053 | 6FF | 1DR | R_  | ennunlevatrisex                   | ennunlevatriseximal                 | ELV  |
| 1792 | 12144 | 1054 | 700 | 1DS | S0  | tesserheptahex                    | tesserheptahex                      | TSRH |
| 1793 | 12145 | 1055 | 701 | 1DT | S1  | levunennatrisex                   | levunennatriseximal                 | LTS  |
| 1794 | 12150 | 1056 | 702 | 1DU | S2  | henbilevasnahexaker's dozen       | henbilevasnahexaker's dozenal       | HLD  |
| 1795 | 12151 | 1057 | 703 | 1DV | S3  | pentunbinbinocteleven             | pentunbinbinoctelevenary            | PBL  |
| 1796 | 12152 | 1058 | 704 | 1DW | S4  | tetruntessertetrasept             | tetruntessertetraseptimal           | TETS |
| 1797 | 12153 | 1059 | 705 | 1DX | S5  | trinhenbilevasnabiker's dozen     | trinhenbilevasnabiker's dozenal     | TVS  |
| 1798 | 12154 | 105E | 706 | 1DY | S6  | henpentahexasnabintetrasept       | henpentahexasnabintetraseptimal     | HNNS |
| 1799 | 12155 | 105X | 707 | 1DZ | S7  | heptuntesserhex                   | heptuntesserhex                     | HTNT |
| 1800 | 12200 | 1060 | 708 | 1E0 | S8  | fetapentages                      | fetapentagesimal                    | FPN  |
| 1801 | 12201 | 1061 | 709 | 1E1 | S9  | unfetapentages                    | unfetapentagesimal                  | UFG  |
| 1802 | 12202 | 1062 | 70A | 1E2 | SA  | bimaluntetraker's dozen           | bimaluntetraker's dozenal           | BMR  |
| 1803 | 12203 | 1063 | 70B | 1E3 | SB  | trinhexacent                      | trinhexacentesimal                  | TRHC |
| 1804 | 12204 | 1064 | 70C | 1E4 | SC  | henpentoctosnatetreleven          | henpentoctosnatetrelevenary         | HNPC |
| 1805 | 12205 | 1065 | 70D | 1E5 | SD  | hentrihexasnapentuntrisex         | hentrihexasnapentuntriseximal       | HETS |
| 1806 | 12210 | 1066 | 70E | 1E6 | SE  | hexaheptunhexasept                | hexaheptunhexaseptimal              | HEXP |
| 1807 | 12211 | 1067 | 70F | 1E7 | SF  | bakerunhexunbieleven              | bakerunhexunbielevenary             | BANH |
| 1808 | 12212 | 1068 | 710 | 1E8 | SG  | tesserunheptahex                  | tesserunheptahex                    | TSNH |
| 1809 | 12213 | 1069 | 711 | 1E9 | SH  | triennunhexeleven                 | triennunhexelevenary                | TRNL |
| 1810 | 12214 | 106E | 712 | 1EA | SI  | decunennaviges                    | decunennavigesimal                  | DCV  |
| 1811 | 12215 | 106X | 713 | 1EB | SJ  | undecunennaviges                  | undecunennavigesimal                | UDG  |
| 1812 | 12220 | 1070 | 714 | 1EC | SK  | dozundecatriquin                  | dozundecatriquinary                 | DDR  |
| 1813 | 12221 | 1071 | 715 | 1ED | SL  | henfetasnaheptasept               | henfetasnaheptaseptimal             | HNFT |
| 1814 | 12222 | 1072 | 716 | 1EE | SM  | binhexundecatriquin               | binhexundecatriquinary              | BNQ  |
| 1815 | 12223 | 1073 | 717 | 1EF | SN  | trilevapenteleven                 | trilevapentelevenary                | TLL  |
| 1816 | 12224 | 1074 | 718 | 1EG | SO  | octunbinheptahex                  | octunbinheptahex                    | OBH  |
| 1817 | 12225 | 1075 | 719 | 1EH | SP  | henbilevasnunhexaker's dozen      | henbilevasnunhexaker's dozenal      | HVD  |
| 1818 | 12230 | 1076 | 71A | 1EI | SQ  | trihexuncent                      | trihexuncentesimal                  | TIHC |
| 1819 | 12231 | 1077 | 71B | 1EJ | SR  | malunbintetraker's dozen          | malunbintetraker's dozenal          | MBT  |
| 1820 | 12232 | 1078 | 71C | 1EK | SS  | icosiheptaker's dozen             | icosiheptaker's dozenal             | IOK  |
| 1821 | 12233 | 1079 | 71D | 1EL | ST  | trinhexuncent                     | trinhexuncentesimal                 | TNXN |
| 1822 | 12234 | 107E | 71E | 1EM | SU  | binbakerheptages                  | binbakerheptagesimal                | BHG  |
| 1823 | 12235 | 107X | 71F | 1EN | SV  | unbinbakerheptages                | unbinbakerheptagesimal              | UKG  |
| 1824 | 12240 | 1080 | 720 | 1EO | SW  | hentrihexasnoctodozen             | hentrihexasnoctodozenal             | HCD  |
| 1825 | 12241 | 1081 | 721 | 1EP | SX  | pentapentunoctonon                | pentapentunoctononary               | PENP |
| 1826 | 12242 | 1082 | 722 | 1EQ | SY  | bilevunbinpentoct                 | bilevunbinpentoctal                 | BVC  |
| 1827 | 12243 | 1083 | 723 | 1ER | SZ  | hentetraheptasnaheptanon          | hentetraheptasnaheptanonary         | HTRT |
| 1828 | 12244 | 1084 | 724 | 1ES | Sa  | tetrunhentrihexasnatetrasex       | tetrunhentrihexasnatetraseximal     | TTNN |
| 1829 | 12245 | 1085 | 725 | 1ET | Sb  | henpentahexasnunbintetrasept      | henpentahexasnunbintetraseptimal    | HPNS |
| 1830 | 12250 | 1086 | 726 | 1EU | Sc  | pentahexunhexages                 | pentahexunhexagesimal               | PXH  |
| 1831 | 12251 | 1087 | 727 | 1EV | Sd  | unpentahexunhexages               | unpentahexunhexagesimal             | UGS  |
| 1832 | 12252 | 1088 | 728 | 1EW | Se  | octundozuntrisex                  | octundozuntriseximal                | ONZ  |
| 1833 | 12253 | 1089 | 729 | 1EX | Sf  | tribakerunbinbieleven             | tribakerunbinbielevenary            | TKB  |
| 1834 | 12254 | 108E | 72A | 1EY | Sg  | biheptundecaker's dozen           | biheptundecaker's dozenal           | BHPN |
| 1835 | 12255 | 108X | 72B | 1EZ | Sh  | pentunhexunhexages                | pentunhexunhexagesimal              | PXX  |
| 1836 | 12300 | 1090 | 72C | 1F0 | Si  | fetatrisubopt                     | fetatrisuboptimal                   | FTR  |
| 1837 | 12301 | 1091 | 72D | 1F1 | Sj  | levunbinbinpentoct                | levunbinbinpentoctal                | LBB  |
| 1838 | 12302 | 1092 | 72E | 1F2 | Sk  | binmalhexanon                     | binmalhexanonary                    | BMX  |
| 1839 | 12303 | 1093 | 72F | 1F3 | Sl  | trinmalnift                       | trinmalniftimal                     | TMN  |
| 1840 | 12304 | 1094 | 730 | 1F4 | Sm  | henbilevasnoctoges                | henbilevasnoctogesimal              | HCG  |
| 1841 | 12305 | 1095 | 731 | 1F5 | Sn  | heptunbindecaker's dozen          | heptunbindecaker's dozenal          | HCK  |
| 1842 | 12310 | 1096 | 732 | 1F6 | So  | hexunmaltrisex                    | hexunmaltriseximal                  | HML  |
| 1843 | 12311 | 1097 | 733 | 1F7 | Sp  | hentrihexasnunoctodozen           | hentrihexasnunoctodozenal           | HCZ  |
| 1844 | 12312 | 1098 | 734 | 1F8 | Sq  | tetrunicosinbieleven              | tetrunicosinbielevenary             | TERS |
| 1845 | 12313 | 1099 | 735 | 1F9 | Sr  | henpentoctosnapentanon            | henpentoctosnapentanonary           | HNNC |
| 1846 | 12314 | 109E | 736 | 1FA | Ss  | bibakerunheptages                 | bibakerunheptagesimal               | BPG  |
| 1847 | 12315 | 109X | 737 | 1FB | St  | unbibakerunheptages               | unbibakerunheptagesimal             | UKM  |
| 1848 | 12320 | 10E0 | 738 | 1FC | Su  | hexaheptatetreleven               | hexaheptatetrelevenary              | HXHP |
| 1849 | 12321 | 10E1 | 739 | 1FD | Sv  | henhexaheptasnunhexasept          | henhexaheptasnunhexaseptimal        | HEHH |
| 1850 | 12322 | 10E2 | 73A | 1FE | Sw  | henfetasnapentages                | henfetasnapentagesimal              | HFG  |
| 1851 | 12323 | 10E3 | 73B | 1FF | Sx  | trinlevaheptoct                   | trinlevaheptoctal                   | TVC  |
| 1852 | 12324 | 10E4 | 73C | 1FG | Sy  | tetrunlevahexasept                | tetrunlevahexaseptimal              | TVM  |
| 1853 | 12325 | 10E5 | 73D | 1FH | Sz  | malunennadozen                    | malunennadozenal                    | MAZ  |
| 1854 | 12330 | 10E6 | 73E | 1FI | S-  | trihexunhexasubopt                | trihexunhexasuboptimal              | TRHH |
| 1855 | 12331 | 10E7 | 73F | 1FJ | S_  | pentaheptuntetraker's dozen       | pentaheptuntetraker's dozenal       | PRR  |
| 1856 | 12332 | 10E8 | 740 | 1FK | T0  | hentetraheptasnoctoct             | hentetraheptasnoctoctal             | HEHT |
| 1857 | 12333 | 10E9 | 741 | 1FL | T1  | trinhexunhexasubopt               | trinhexunhexasuboptimal             | TIHH |
| 1858 | 12334 | 10EE | 742 | 1FM | T2  | binhentetraheptasnatetroct        | binhentetraheptasnatetroctal        | BNHN |
| 1859 | 12335 | 10EX | 743 | 1FN | T3  | bakerlevaker's dozen              | bakerlevaker's dozenal              | BVK  |
| 1860 | 12340 | 10X0 | 744 | 1FO | T4  | henpentahexasnahexages            | henpentahexasnahexagesimal          | HNTS |
| 1861 | 12341 | 10X1 | 745 | 1FP | T5  | unhenpentahexasnahexages          | unhenpentahexasnahexagesimal        | UGM  |
| 1862 | 12342 | 10X2 | 746 | 1FQ | T6  | bihentrihexasnaheptasept          | bihentrihexasnaheptaseptimal        | BHNR |
| 1863 | 12343 | 10X3 | 747 | 1FR | T7  | henbilevasnennanon                | henbilevasnennanonary               | HNBS |
| 1864 | 12344 | 10X4 | 748 | 1FS | T8  | octunoctuntetrasept               | octunoctuntetraseptimal             | ORS  |
| 1865 | 12345 | 10X5 | 749 | 1FT | T9  | pentundozunpentasex               | pentundozunpentaseximal             | PZP  |
| 1866 | 12350 | 10X6 | 74A | 1FU | TA  | hexundecunpentasex                | hexundecunpentaseximal              | HDX  |
| 1867 | 12351 | 10X7 | 74B | 1FV | TB  | unhexundecunpentasex              | unhexundecunpentaseximal            | UNHD |
| 1868 | 12352 | 10X8 | 74C | 1FW | TC  | tetrunbinoctuntetrasept           | tetrunbinoctuntetraseptimal         | TTNB |
| 1869 | 12353 | 10X9 | 74D | 1FX | TD  | triheptunocteleven                | triheptunoctelevenary               | THTN |
| 1870 | 12354 | 10XE | 74E | 1FY | TE  | maldeceleven                      | maldecelevenary                     | MDC  |
| 1871 | 12355 | 10XX | 74F | 1FZ | TF  | unmaldeceleven                    | unmaldecelevenary                   | UMD  |
| 1872 | 12400 | 1100 | 750 | 1G0 | TG  | fetatetraker's dozen              | fetatetraker's dozenal              | FEK  |
| 1873 | 12401 | 1101 | 751 | 1G1 | TH  | unfetatetraker's dozen            | unfetatetraker's dozenal            | UFR  |
| 1874 | 12402 | 1102 | 752 | 1G2 | TI  | binbibakernift                    | binbibakerniftimal                  | BFM  |
| 1875 | 12403 | 1103 | 753 | 1G3 | TJ  | pentapentapentatriquin            | pentapentapentatriquinary           | PEQ  |
| 1876 | 12404 | 1104 | 754 | 1G4 | TK  | tetraheptunhexeleven              | tetraheptunhexelevenary             | TTPT |
| 1877 | 12405 | 1105 | 755 | 1G5 | TL  | untetraheptunhexeleven            | untetraheptunhexelevenary           | UTTH |
| 1878 | 12410 | 1106 | 756 | 1G6 | TM  | hexunbakertetrasex                | hexunbakertetraseximal              | HKT  |
| 1879 | 12411 | 1107 | 757 | 1G7 | TN  | unhexunbakertetrasex              | unhexunbakertetraseximal            | UKX  |
| 1880 | 12412 | 1108 | 758 | 1G8 | TO  | pentoctunbinbieleven              | pentoctunbinbielevenary             | PCB  |
| 1881 | 12413 | 1109 | 759 | 1G9 | TP  | hentrihexasnenneleven             | hentrihexasnennelevenary            | HERS |
| 1882 | 12414 | 110E | 75A | 1GA | TQ  | binicosinbinbieleven              | binicosinbinbielevenary             | BICS |
| 1883 | 12415 | 110X | 75B | 1GB | TR  | heptuntetrunhexeleven             | heptuntetrunhexelevenary            | HEPR |
| 1884 | 12420 | 1110 | 75C | 1GC | TS  | dozundozaker's dozen              | dozundozaker's dozenal              | DNZ  |
| 1885 | 12421 | 1111 | 75D | 1GD | TT  | hentetraheptasnapentaker's dozen  | hentetraheptasnapentaker's dozenal  | HKN  |
| 1886 | 12422 | 1112 | 75E | 1GE | TU  | henpentoctosnabinbieleven         | henpentoctosnabinbielevenary        | HPNC |
| 1887 | 12423 | 1113 | 75F | 1GF | TV  | henfetasnatrisubopt               | henfetasnatrisuboptimal             | HEFS |
| 1888 | 12424 | 1114 | 760 | 1GG | TW  | tetroctunbintetrasept             | tetroctunbintetraseptimal           | TECN |
| 1889 | 12425 | 1115 | 761 | 1GH | TX  | untetroctunbintetrasept           | untetroctunbintetraseptimal         | UNTC |
| 1890 | 12430 | 1116 | 762 | 1GI | TY  | hexaheptapentanon                 | hexaheptapentanonary                | HXHT |
| 1891 | 12431 | 1117 | 763 | 1GJ | TZ  | henpentahexasnunhexages           | henpentahexasnunhexagesimal         | HPTS |
| 1892 | 12432 | 1118 | 764 | 1GK | Ta  | henhexaheptasnatetreleven         | henhexaheptasnatetrelevenary        | HNHH |
| 1893 | 12433 | 1119 | 765 | 1GL | Tb  | trindecaheptanon                  | trindecaheptanonary                 | TIND |
| 1894 | 12434 | 111E | 766 | 1GM | Tc  | binbilevunhexasept                | binbilevunhexaseptimal              | BINL |
| 1895 | 12435 | 111X | 767 | 1GN | Td  | pentunennahexasept                | pentunennahexaseptimal              | PNM  |
| 1896 | 12440 | 1120 | 768 | 1GO | Te  | tetrahexunhexaker's dozen         | tetrahexunhexaker's dozenal         | TTHN |
| 1897 | 12441 | 1121 | 769 | 1GP | Tf  | heptundecatrinon                  | heptundecatrinonary                 | HEPD |
| 1898 | 12442 | 1122 | 76A | 1GQ | Tg  | bibakerunoctonon                  | bibakerunoctononary                 | BBKR |
| 1899 | 12443 | 1123 | 76B | 1GR | Th  | ennundecatrisept                  | ennundecatriseptimal                | EDR  |
| 1900 | 12444 | 1124 | 76C | 1GS | Ti  | hentrihexasnacent                 | hentrihexasnacentesimal             | HNRS |
| 1901 | 12445 | 1125 | 76D | 1GT | Tj  | unhentrihexasnacent               | unhentrihexasnacentesimal           | UHNT |
| 1902 | 12450 | 1126 | 76E | 1GU | Tk  | hexuntetrunhexaker's dozen        | hexuntetrunhexaker's dozenal        | HXNR |
| 1903 | 12451 | 1127 | 76F | 1GV | Tl  | levuntetrunhexasept               | levuntetrunhexaseptimal             | LTH  |
| 1904 | 12452 | 1128 | 770 | 1GW | Tm  | malheptahex                       | malheptahex                         | MHH  |
| 1905 | 12453 | 1129 | 771 | 1GX | Tn  | tripentunennabisept               | tripentunennabiseptimal             | TNTN |
| 1906 | 12454 | 112E | 772 | 1GY | To  | binmalheptoct                     | binmalheptoctal                     | BMC  |
| 1907 | 12455 | 112X | 773 | 1GZ | Tp  | unbinmalheptoct                   | unbinmalheptoctal                   | UMC  |
| 1908 | 12500 | 1130 | 774 | 1H0 | Tq  | fetuntetraker's dozen             | fetuntetraker's dozenal             | FNT  |
| 1909 | 12501 | 1131 | 775 | 1H1 | Tr  | henbilevasnunbinpentoct           | henbilevasnunbinpentoctal           | HELS |
| 1910 | 12502 | 1132 | 776 | 1H2 | Ts  | decundecuntrisex                  | decundecuntriseximal                | DDN  |
| 1911 | 12503 | 1133 | 777 | 1H3 | Tt  | tribakerheptasept                 | tribakerheptaseptimal               | TRBK |
| 1912 | 12504 | 1134 | 778 | 1H4 | Tu  | octunbiheptasubopt                | octunbiheptasuboptimal              | OBP  |
| 1913 | 12505 | 1135 | 779 | 1H5 | Tv  | unoctunbiheptasubopt              | unoctunbiheptasuboptimal            | UOH  |
| 1914 | 12510 | 1136 | 77A | 1H6 | Tw  | hentetraheptasnahexeleven         | hentetraheptasnahexelevenary        | HNHT |
| 1915 | 12511 | 1137 | 77B | 1H7 | Tx  | pentunbindecuntrisex              | pentunbindecuntriseximal            | PDS  |
| 1916 | 12512 | 1138 | 77C | 1H8 | Ty  | tetrunbinbiheptasubopt            | tetrunbinbiheptasuboptimal          | TEBN |
